path,group,file,ext,width,height,mean_gray,std_gray,dynamic_range_p95_p5,edge_density_20,edge_density_35,lap_var,border_mean,border_std,border_cv,border_dynamic_range,bright_ratio_245,dark_ratio_20
Image_projet_money/data/images/gp1/18.png,gp1,18.png,.png,4032,3024,156.29071044921875,41.1908073425293,147.0019989013672,0.04618024389539767,0.023190960411942557,91.91081237792969,167.44886779785156,18.998764038085938,0.11346009255208413,63.21299743652344,7.381424792139078e-06,0.003081088724069875
Image_projet_money/data/images/gp1/19.png,gp1,19.png,.png,4032,3024,150.7027130126953,40.8282470703125,134.79100036621094,0.015276022638993868,0.005613901617745864,18.966123580932617,162.67587280273438,30.886262893676758,0.1898638216075863,85.0,0.0,0.0013713867105484168
Image_projet_money/data/images/gp1/20.png,gp1,20.png,.png,4032,3024,150.22593688964844,42.32402038574219,148.42699813842773,0.046889106722936086,0.01994789042160074,43.115806579589844,161.9486083984375,21.193035125732422,0.13086271833587979,66.04300689697266,0.00013934489690938103,0.0028907299802637103
Image_projet_money/data/images/gp1/21.png,gp1,21.png,.png,4032,3024,153.1709747314453,37.91973876953125,131.37000274658203,0.03974979266397917,0.01984036766712858,86.02193450927734,160.2844696044922,28.498451232910156,0.17779920477156103,89.4729995727539,6.635080729822793e-05,0.002126424450953221
Image_projet_money/data/images/gp1/22.png,gp1,22.png,.png,4284,5712,96.6911392211914,40.97909164428711,126.96300506591797,0.2385512620080712,0.09715430289762964,66.18977355957031,96.2235107421875,40.336334228515625,0.4191941648916669,123.20301055908203,0.0012540964098057524,0.003985908088725686
Image_projet_money/data/images/gp1/23.png,gp1,23.png,.png,4284,5712,73.47222900390625,45.0504035949707,143.2719955444336,0.09173113689920413,0.021684695119878018,27.171415328979492,69.79529571533203,41.01013946533203,0.5875774154263419,128.91000366210938,0.0011711383899965216,0.08244339402427638
Image_projet_money/data/images/gp1/24.png,gp1,24.png,.png,5712,4284,76.72256469726562,31.513427734375,105.55500030517578,0.08611598234064868,0.02040603823228638,33.509822845458984,70.21595001220703,19.604297637939453,0.2792000625859402,62.22600173950195,0.0010247563077518589,0.004758725385579068
Image_projet_money/data/images/gp1/25.png,gp1,25.png,.png,3024,4032,101.61092376708984,38.86897659301758,148.3509979248047,0.29608830414882004,0.09624082078819182,155.73464965820312,100.40113067626953,37.96726608276367,0.3781557620619255,148.28300857543945,0.0029040985607205845,0.0002902540259931133
Image_projet_money/data/images/gp1/26.jpg,gp1,26.jpg,.jpg,3024,4032,125.11405944824219,40.105438232421875,141.85700225830078,0.03397374574829932,0.011072465251532711,75.4743881225586,141.2091064453125,23.21937370300293,0.16443255174902854,67.78899383544922,0.00021767001553707902,0.025059363058495
Image_projet_money/data/images/gp1/27.jpg,gp1,27.jpg,.jpg,3024,4032,120.52513122558594,42.48991012573242,151.15601348876953,0.025525294994541026,0.007016372328252289,60.122398376464844,139.2230224609375,21.165014266967773,0.1520223731165307,64.14799499511719,6.815515558075082e-05,0.06578243758923323
Image_projet_money/data/images/gp1/28.jpg,gp1,28.jpg,.jpg,3024,4032,130.27818298339844,29.717662811279297,96.12000274658203,0.011788299424708154,0.002085088472117242,47.245704650878906,138.6786651611328,23.695138931274414,0.17086362133456273,71.01699829101562,3.288834824053078e-05,0.01293586493239271
Image_projet_money/data/images/gp1/29.jpg,gp1,29.jpg,.jpg,3024,4032,126.0584945678711,38.267127990722656,141.39500999450684,0.009118356061560426,0.002460885009868145,39.47079849243164,143.7984161376953,22.995798110961914,0.15991690818723694,74.8600082397461,8.783895502645502e-05,0.022744384212018142
Image_projet_money/data/images/gp1/30.jpg,gp1,30.jpg,.jpg,3024,4032,157.0099639892578,37.53434753417969,126.99998474121094,0.07455403071722516,0.021663005479969764,151.72073364257812,157.96676635742188,39.34538269042969,0.24907379949403574,134.00000762939453,0.0016404806521373983,0.0002523627120601327
Image_projet_money/data/images/gp1/31.jpg,gp1,31.jpg,.jpg,3024,4032,155.49612426757812,42.027374267578125,128.40199279785156,0.06227298017972621,0.01479713220164609,99.26217651367188,152.89476013183594,48.750709533691406,0.3188514079335049,147.0430030822754,0.0008099063313597044,6.044566746451667e-05
Image_projet_money/data/images/gp2/1.jpeg,gp2,1.jpeg,.jpeg,1837,1751,76.50737762451172,35.046112060546875,112.70599365234375,0.2877674379707435,0.08255613791885623,245.2355194091797,64.2913589477539,19.555892944335938,0.3041760706944762,50.3589973449707,0.00011533964416320778,0.010443989234552026
Image_projet_money/data/images/gp2/10.jpeg,gp2,10.jpeg,.jpeg,2048,1880,135.75607299804688,41.0940055847168,129.9600067138672,0.04902759308510638,0.0210942694481383,54.89341354370117,155.0161895751953,11.631166458129883,0.07503194659863467,30.712005615234375,2.3894614361702128e-05,0.0028426799368351063
Image_projet_money/data/images/gp2/11.jpeg,gp2,11.jpeg,.jpeg,1462,1504,88.38677978515625,33.800941467285156,102.71500015258789,0.20131632563960766,0.10478123089908897,553.1640014648438,81.59738159179688,24.094011306762695,0.2952792214252241,74.02899932861328,0.0025722560176965393,0.0015057884856070087
Image_projet_money/data/images/gp2/12.jpeg,gp2,12.jpeg,.jpeg,1591,1640,73.73765563964844,19.74382209777832,51.04599380493164,0.07092716653125047,0.03505503518265855,239.81253051757812,72.22164916992188,5.3894758224487305,0.07462410349794786,6.63800048828125,0.0019691557694960986,0.0005974919900047523
Image_projet_money/data/images/gp2/13.jpeg,gp2,13.jpeg,.jpeg,1939,1965,77.35867309570312,31.297893524169922,93.04900741577148,0.19245433560753097,0.09986496541461129,548.1574096679688,75.24881744384766,20.380754470825195,0.2708448473098434,48.256996154785156,0.002350047964179747,0.0023316759117459093
Image_projet_money/data/images/gp2/14.jpeg,gp2,14.jpeg,.jpeg,2048,1834,73.93375396728516,24.409297943115234,70.06500244140625,0.07114209889585606,0.034996240713604146,169.53085327148438,70.00130462646484,2.718796730041504,0.03883922941935613,7.3690032958984375,0.0025324597873500544,0.0014834804389312977
Image_projet_money/data/images/gp2/15.jpeg,gp2,15.jpeg,.jpeg,1594,1844,76.88225555419922,30.056856155395508,85.89199829101562,0.15684052452662778,0.08629499995917446,627.088623046875,74.09510040283203,13.870769500732422,0.187202249883209,17.862003326416016,0.0036984543447907965,0.002897933410811149
Image_projet_money/data/images/gp2/2.jpeg,gp2,2.jpeg,.jpeg,1462,2048,59.52098846435547,27.167675018310547,86.1419906616211,0.6142855329813611,0.31667376934422026,1081.84033203125,51.04667282104492,18.672103881835938,0.36578493464784684,60.10300636291504,4.4753548221614226e-05,0.020911930360807112
Image_projet_money/data/images/gp2/3.jpeg,gp2,3.jpeg,.jpeg,2048,1310,65.17443084716797,37.099788665771484,121.83099365234375,0.6425155057251909,0.36330025942270994,616.1878662109375,55.20159149169922,24.434398651123047,0.44263938757630383,79.34199905395508,8.274689885496183e-05,0.054945804508587784
Image_projet_money/data/images/gp2/4.jpeg,gp2,4.jpeg,.jpeg,2048,1850,103.18765258789062,34.2144775390625,111.73300552368164,0.1348411106418919,0.031915382179054055,92.08489227294922,101.39813995361328,28.398948669433594,0.2800736648860156,87.98899841308594,0.00018660261824324323,0.006534786739864865
Image_projet_money/data/images/gp2/5.jpeg,gp2,5.jpeg,.jpeg,1220,864,130.9726104736328,48.34321212768555,135.6179962158203,0.07899874772313296,0.0430887598664238,71.18057250976562,158.02191162109375,18.59222412109375,0.11765598789663005,35.30499267578125,9.486945962355799e-07,0.0016715998785670916
Image_projet_money/data/images/gp2/6.jpeg,gp2,6.jpeg,.jpeg,2048,1744,119.01365661621094,54.79182815551758,160.14600372314453,0.07961980137256307,0.039253724824397936,68.36280059814453,156.14688110351562,37.84648513793945,0.24237746454154022,119.0857925415039,0.001462043972190367,0.003332015571244266
Image_projet_money/data/images/gp2/7.jpeg,gp2,7.jpeg,.jpeg,1900,2048,130.2022705078125,51.02376937866211,143.77600479125977,0.07552194695723684,0.038316971628289474,63.51936340332031,165.07147216796875,20.24242401123047,0.12262823942487626,45.712005615234375,0.0007894736842105263,0.001669921875
Image_projet_money/data/images/gp2/8.jpeg,gp2,8.jpeg,.jpeg,1536,2048,143.5109405517578,31.111026763916016,105.77799987792969,0.034797350565592446,0.02102057139078776,140.91323852539062,145.8574676513672,27.1817569732666,0.18635834977086835,70.55500030517578,4.9273173014322914e-05,0.0002253850301106771
Image_projet_money/data/images/gp2/9.jpeg,gp2,9.jpeg,.jpeg,1826,2048,145.07579040527344,49.33334732055664,147.97199249267578,0.05225170925177985,0.026806533663061335,81.48857116699219,162.0032958984375,27.365026473999023,0.16891647989158567,75.94600677490234,0.00020269287376779846,0.0016728847207009858
Image_projet_money/data/images/gp3/3_1.jpg,gp3,3_1.jpg,.jpg,1536,2048,84.14702606201172,30.07868003845215,78.39199829101562,0.1696770985921224,0.05083592732747396,514.7301635742188,76.22660827636719,21.71162223815918,0.284829965927928,66.53899765014648,0.0016511281331380208,0.00019327799479166666
Image_projet_money/data/images/gp3/3_10.jpg,gp3,3_10.jpg,.jpg,4032,3024,165.8919677734375,34.230472564697266,110.8270034790039,0.07459561274355421,0.018322090603216594,38.58684158325195,174.83212280273438,20.154191970825195,0.11527739666906328,61.23899841308594,0.00020216902347358696,2.1488147728227093e-05
Image_projet_money/data/images/gp3/3_2.jpg,gp3,3_2.jpg,.jpg,1536,2048,92.03802490234375,37.0633430480957,109.94099807739258,0.3743651707967122,0.1534897486368815,1436.48388671875,83.98096466064453,26.549854278564453,0.31614133495428093,75.40299224853516,0.004205385843912761,0.0008742014567057291
Image_projet_money/data/images/gp3/3_3.jpg,gp3,3_3.jpg,.jpg,1536,2048,84.14702606201172,30.07868003845215,78.39199829101562,0.1696770985921224,0.05083592732747396,514.7301635742188,76.22660827636719,21.71162223815918,0.284829965927928,66.53899765014648,0.0016511281331380208,0.00019327799479166666
