source_path,short_path,background_label,selected_method,coin_count,border_cv,edge_density,texture_score,contour_merge_score,hough_overlap_pairs,likely_overlap
data/images/gp8/IMG_1136.png,gp8/IMG_1136.png,easy,contours,0,0.121783,0.053188,0.125699,0.000000,38,0
data/images/gp8/IMG_1137.png,gp8/IMG_1137.png,easy,contours,6,0.169908,0.064638,0.166998,0.000000,3,0
data/images/gp8/IMG_1138.png,gp8/IMG_1138.png,easy,contours,0,0.144308,0.044177,0.132455,0.166667,65,0
data/images/gp8/IMG_1139.png,gp8/IMG_1139.png,easy,hough+watershed,28,0.158854,0.058108,0.154100,0.200000,83,1
data/images/gp8/IMG_1140.png,gp8/IMG_1140.png,easy,hough+watershed,43,0.130081,0.056331,0.133843,0.250000,88,1
data/images/gp8/IMG_1141.png,gp8/IMG_1141.png,easy,contours,1,0.046025,0.042351,0.066974,0.000000,102,0
data/images/gp8/IMG_1142.png,gp8/IMG_1142.png,easy,contours,4,0.181565,0.016475,0.132433,0.000000,1,0
data/images/gp8/IMG_1143.png,gp8/IMG_1143.png,easy,contours,8,0.172052,0.046828,0.152808,0.071429,71,0
data/images/gp8/IMG_1144.png,gp8/IMG_1144.png,easy,contours,1,0.094115,0.038007,0.094431,0.142857,6,0
data/images/gp8/IMG_1145.png,gp8/IMG_1145.png,easy,contours,4,0.149451,0.028937,0.122463,0.100000,16,0
