source_path,short_path,background_label,selected_method,coin_count,border_cv,edge_density,texture_score,contour_merge_score,hough_overlap_pairs,likely_overlap
data/images/gp1/18.png,gp1/18.png,easy,contours,0,0.114621,0.038735,0.108397,0.000000,54,0
data/images/gp1/19.png,gp1/19.png,easy,hough+watershed,13,0.192223,0.023949,0.145901,0.000000,16,1
data/images/gp1/20.png,gp1/20.png,easy,contours,1,0.120726,0.046977,0.119577,0.166667,100,0
data/images/gp1/21.png,gp1/21.png,easy,contours,3,0.186525,0.033143,0.150242,0.000000,22,0
data/images/gp1/22.png,gp1/22.png,medium,hough,78,0.250915,0.242720,0.375475,0.100000,369,0
data/images/gp1/23.png,gp1/23.png,medium,hough,203,0.218759,0.208139,0.324315,0.000000,1096,0
data/images/gp1/24.png,gp1/24.png,medium,hough,158,0.105722,0.224893,0.265501,0.016129,753,0
data/images/gp1/25.png,gp1/25.png,medium,hough,137,0.250884,0.294223,0.420520,0.000000,657,0
data/images/gp1/26.jpg,gp1/26.jpg,easy,contours,5,0.165773,0.035991,0.139244,0.000000,8,0
data/images/gp1/27.jpg,gp1/27.jpg,easy,contours,5,0.152343,0.038599,0.132798,0.000000,7,0
data/images/gp1/28.jpg,gp1/28.jpg,easy,hough+watershed,5,0.172663,0.018821,0.128699,0.333333,1,1
data/images/gp1/29.jpg,gp1/29.jpg,easy,hough+watershed,6,0.161484,0.012820,0.116182,0.250000,1,1
data/images/gp1/30.jpg,gp1/30.jpg,medium,hough,21,0.277802,0.085802,0.255648,0.076923,27,0
data/images/gp1/31.jpg,gp1/31.jpg,medium,hough,22,0.349977,0.073203,0.291538,0.142857,43,0
