source_path,short_path,background_label,selected_method,coin_count,border_cv,edge_density,texture_score,contour_merge_score,hough_overlap_pairs,likely_overlap
data/images/gp7/gp7_01.webp,gp7/gp7_01.webp,easy,contours,6,0.312813,0.012245,0.214043,0.058824,0,0
data/images/gp7/gp7_02.webp,gp7/gp7_02.webp,easy,contours,10,0.211171,0.020952,0.155594,0.076923,0,0
data/images/gp7/gp7_03.webp,gp7/gp7_03.webp,easy,contours,10,0.201753,0.018135,0.147007,0.058824,0,0
data/images/gp7/gp7_04.webp,gp7/gp7_04.webp,easy,contours,10,0.219134,0.013905,0.154604,0.062500,0,0
data/images/gp7/gp7_05.webp,gp7/gp7_05.webp,easy,contours,10,0.202883,0.017744,0.147400,0.000000,0,0
data/images/gp7/gp7_06.webp,gp7/gp7_06.webp,easy,contours,9,0.205575,0.020616,0.151663,0.000000,0,0
data/images/gp7/gp7_07.webp,gp7/gp7_07.webp,easy,contours,7,0.212087,0.016029,0.151882,0.181818,0,0
data/images/gp7/gp7_08.webp,gp7/gp7_08.webp,easy,contours,8,0.204733,0.014125,0.145436,0.166667,0,0
data/images/gp7/gp7_09.webp,gp7/gp7_09.webp,easy,contours,8,0.218685,0.012715,0.153271,0.142857,0,0
data/images/gp7/gp7_10.webp,gp7/gp7_10.webp,easy,contours,5,0.249048,0.014251,0.174351,0.000000,0,0
data/images/gp7/gp7_11.webp,gp7/gp7_11.webp,easy,contours,7,0.214646,0.015513,0.153093,0.090909,0,0
data/images/gp7/gp7_12.webp,gp7/gp7_12.webp,easy,contours,11,0.205894,0.024172,0.154982,0.000000,0,0
