source_path,short_path,background_label,selected_method,coin_count,border_cv,edge_density,texture_score,contour_merge_score,hough_overlap_pairs,likely_overlap
data/images/gp6/60.jpg,gp6/60.jpg,easy,contours,11,0.130071,0.037836,0.117653,0.000000,8,0
data/images/gp6/61.jpg,gp6/61.jpg,easy,contours,8,0.079212,0.055651,0.100182,0.000000,11,0
data/images/gp6/62.jpg,gp6/62.jpg,easy,contours,9,0.105719,0.053394,0.115437,0.000000,40,0
data/images/gp6/63.jpg,gp6/63.jpg,easy,contours,3,0.054935,0.068084,0.095282,0.000000,157,0
data/images/gp6/64.jpg,gp6/64.jpg,easy,contours,3,0.045797,0.054012,0.077028,0.000000,194,0
data/images/gp6/65.jpg,gp6/65.jpg,easy,contours,7,0.071536,0.055448,0.095015,0.000000,167,0
data/images/gp6/66.jpg,gp6/66.jpg,easy,contours,4,0.067917,0.050940,0.088719,0.000000,130,0
data/images/gp6/67.jpg,gp6/67.jpg,easy,contours,10,0.049317,0.029049,0.057474,0.000000,0,0
data/images/gp6/68.jpg,gp6/68.jpg,easy,contours,11,0.096329,0.027842,0.086975,0.000000,11,0
data/images/gp6/69.jpg,gp6/69.jpg,easy,contours,9,0.035425,0.030615,0.049814,0.000000,20,0
