source_path,short_path,background_label,selected_method,coin_count,border_cv,edge_density,texture_score,contour_merge_score,hough_overlap_pairs,likely_overlap
data/images/gp5/0.jpeg,gp5/0.jpeg,easy,hough+watershed,23,0.169848,0.017523,0.125734,0.058824,56,1
data/images/gp5/1.jpeg,gp5/1.jpeg,easy,contours,0,0.171012,0.030332,0.137698,0.052632,51,0
data/images/gp5/10.jpg,gp5/10.jpg,medium,hough,89,0.329271,0.176977,0.368881,0.017241,345,0
data/images/gp5/11.jpg,gp5/11.jpg,medium,hough+watershed,30,0.357714,0.203247,0.410355,0.200000,38,1
data/images/gp5/12.jpg,gp5/12.jpg,easy,contours,0,0.175033,0.029153,0.139280,0.000000,2,0
data/images/gp5/13.jpg,gp5/13.jpg,medium,hough,73,0.306827,0.107348,0.293367,0.000000,155,0
data/images/gp5/14.jpg,gp5/14.jpg,difficult,hough,84,0.324035,0.329774,0.499175,0.000000,177,0
data/images/gp5/15.jpg,gp5/15.jpg,medium,hough,93,0.343363,0.117616,0.326100,0.017391,179,0
data/images/gp5/16.jpg,gp5/16.jpg,medium,hough,149,0.326919,0.244195,0.426168,0.000000,679,0
data/images/gp5/17.jpg,gp5/17.jpg,medium,hough,55,0.539772,0.039809,0.385685,0.000000,33,0
data/images/gp5/18.jpg,gp5/18.jpg,easy,contours,2,0.143117,0.023032,0.113179,0.000000,9,0
data/images/gp5/19.jpg,gp5/19.jpg,easy,contours,1,0.128650,0.045563,0.123490,0.000000,54,0
data/images/gp5/2.jpeg,gp5/2.jpeg,easy,contours,0,0.136650,0.024969,0.110671,0.071429,52,0
data/images/gp5/20.jpg,gp5/20.jpg,easy,contours,2,0.147716,0.049121,0.138996,0.000000,65,0
data/images/gp5/21.jpg,gp5/21.jpg,easy,contours,1,0.273156,0.029233,0.203130,0.000000,40,0
data/images/gp5/22.jpg,gp5/22.jpg,easy,contours,0,0.145580,0.059471,0.146664,0.000000,110,0
data/images/gp5/23.jpg,gp5/23.jpg,easy,contours,1,0.149316,0.049430,0.140306,0.000000,108,0
data/images/gp5/24.jpg,gp5/24.jpg,easy,contours,0,0.215369,0.064513,0.196438,0.000000,158,0
data/images/gp5/3.jpeg,gp5/3.jpeg,easy,hough+watershed,21,0.235312,0.023480,0.173498,0.285714,37,1
data/images/gp5/4.jpeg,gp5/4.jpeg,easy,hough+watershed,9,0.168138,0.018310,0.125311,0.071429,9,1
data/images/gp5/5.jpeg,gp5/5.jpeg,easy,hough+watershed,19,0.192207,0.019090,0.141638,0.090909,36,1
data/images/gp5/6.jpeg,gp5/6.jpeg,easy,contours,0,0.202924,0.042689,0.169253,0.055556,25,0
data/images/gp5/7.jpg,gp5/7.jpg,easy,contours,1,0.073755,0.127756,0.159727,0.000000,80,0
data/images/gp5/8.jpg,gp5/8.jpg,easy,contours,6,0.101081,0.015358,0.079141,0.000000,1,0
data/images/gp5/9.jpg,gp5/9.jpg,easy,contours,0,0.294632,0.036955,0.223847,0.000000,2,0
